02-10 11:00:32.730: E/AndroidRuntime(31946): FATAL EXCEPTION: UpdateThread
02-10 11:00:32.730: E/AndroidRuntime(31946): java.lang.IndexOutOfBoundsException
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at java.nio.FloatToByteBufferAdapter.put(FloatToByteBufferAdapter.java:195)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.TiledSprite$LowMemoryTiledSpriteVertexBufferObject.onUpdateVertices(TiledSprite.java:419)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.TiledSprite.onUpdateVertices(TiledSprite.java:128)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.Sprite.<init>(Sprite.java:117)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.TiledSprite.<init>(TiledSprite.java:89)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.TiledSprite.<init>(TiledSprite.java:85)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.TiledSprite.<init>(TiledSprite.java:61)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.sprite.AnimatedSprite.<init>(AnimatedSprite.java:69)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.monsters.MonsterSprite.<init>(MonsterSprite.java:22)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.monsters.MonsterPool.onAllocatePoolItem(MonsterPool.java:63)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.monsters.MonsterPool.onAllocatePoolItem(MonsterPool.java:1)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.util.adt.pool.GenericPool.onHandleAllocatePoolItem(GenericPool.java:99)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.util.adt.pool.GenericPool.obtainPoolItem(GenericPool.java:129)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.util.adt.pool.MultiPool.obtainPoolItem(MultiPool.java:48)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.monsters.MonsterFactory.getFromType(MonsterFactory.java:88)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.scenes.Level.addMonster(Level.java:211)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.scenes.events.LevelEvents.popNextMonster(LevelEvents.java:118)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.scenes.events.LevelEvents.displayNextWave(LevelEvents.java:157)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.scenes.events.LevelEvents.access$3(LevelEvents.java:148)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at com.mfp.td.scenes.events.LevelEvents$1.onTimePassed(LevelEvents.java:71)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.handler.timer.TimerHandler.onUpdate(TimerHandler.java:90)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.handler.UpdateHandlerList.onUpdate(UpdateHandlerList.java:47)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.Entity.onManagedUpdate(Entity.java:1268)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.scene.Scene.onManagedUpdate(Scene.java:285)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.entity.Entity.onUpdate(Entity.java:1039)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.Engine.onUpdateScene(Engine.java:563)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.Engine.onUpdate(Engine.java:558)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.Engine.onTickUpdate(Engine.java:520)
02-10 11:00:32.730: E/AndroidRuntime(31946): 	at org.andengine.engine.Engine$UpdateThread.run(Engine.java:784)
